Name,Alcohol,Character,Class,Beverage,Clusters
Domaine Fouassier 'La Garenne' Sancerre 2019/20,13.5,2,Sancerre,1,1
Bread and Butter Chardonnay 2019/20,13.5,2,Chardonnay,1,1
Ancient Lakes 'Eight Thousand Lakes' Riesling 2019,11.5,3,Riesling,1,1
Pringle Bay Sauvignon Blanc 2021,12.5,2,Sauvignon Blanc,1,1
Boekenhoutskloof 'Vintager' Sauvignon Blanc 2021,12.5,2,Sauvignon Blanc,1,1
Pinot Gris Grand Cru Spiegel 2018/19 Domaines Schlumberger,14.0,4,Pinot Gris,1,2
Royal Tokaji 'Gold Label' 6 Puttonyos 2016,11.0,8,Tokaji,1,2
Royal Tokaji Late Harvest 2017 50cl,11.5,8,Tokaji,1,2
Matusalem 30-Year-Old Oloroso Sherry Gonzalez Byass Half Bottle,20.5,5,,1,0
Cave de Hunawihr Kuhlmann-Platz 'Cuvée Prestige' Pinot Gris 2019,13.5,2,Pinot Gris,1,1
De Bortoli Botrytis Semillon 2018 Half Bottle,10.0,8,,1,3
The Hunting Lodge Seasonal Sauvignon Blanc 2020,13.5,2,Sauvignon Blanc,1,1
Yealands Estate Single Vineyard Sauvignon Blanc 2020/21,13.0,2,Sauvignon Blanc,1,1
Lyme Bay Chardonnay 2017/18,13.5,2,Chardonnay,1,1
La Belle Angele Sauvignon Blanc Boxed Wine 2.25L,11.5,2,Sauvignon Blanc,1,1
Definition Pouilly-Fuissé 2019,13.0,2,,1,1
Ara 'Pathway' Sauvignon Blanc 2021,13.0,2,Sauvignon Blanc,1,1
Domaine Faiveley 'La Garenne' 2016 Puligny-Montrachet Premier Cru,13.5,2,,1,1
Roberto Sarotto 'Campo dell'Olio' Gavi di Gavi 2020,13.0,2,Gavi,1,1
Gewürztraminer 'Les Princes Abbés' 2018/19 Domaines Schlumberger,13.5,2,,1,1
The Ned Noble Sauvignon Blanc 2018/19 Half Bottle,9.5,7,Sauvignon Blanc,1,3
Pegasus Bay 'Main Divide' Riesling 2016,13.0,4,Riesling,1,2
Pedro Ximenez Triana Hidalgo Sherry,15.0,8,,1,0
Schloss Vollrads Riesling Kabinett Trocken 2018,12.5,3,Riesling,1,1
Alain Jaume 'La Butte d'Or' Condrieu 2020,14.0,2,,1,1
Domäne Wachau 'Smaragd' Grüner Veltliner 2019/20,13.5,2,,1,1
Majestic Crisp and Zesty 2021,12.5,2,,1,1
Parcel Series Sauvignon Blanc 2019,13.0,2,Sauvignon Blanc,1,1
Cave Vinicole de Hunawihr 'Calixte 5' Cremant d'Alsace Brut,12.0,2,,1,1
Robert Oatley 'Signature Series' Chardonnay 2019/20,13.1,2,Chardonnay,1,1
Christina Ascheri Gavi di Gavi DOCG 2020,13.0,4,Gavi,1,2
Castelnau de Suduiraut 2014 Sauternes Half Bottle,13.5,8,,1,2
Cave de Hunawihr Kuhlmann-Platz 'Cuvée Prestige' Gewürztraminer 2018/19,14.0,3,,1,1
