Name,Alcohol,Character,Class,Beverage,Red Meat,Pork,Poultry,Mollusc,Fish,Lobster-Shellfish,Grilled,Hard Cheese,Soft Cheese,Green Vegetables,Soft Vegetables,Fungi,Beans,Spicy,Fruits,Dessert,Clusters
Domaine Fouassier 'La Garenne' Sancerre 2019/20,13.5,2,Sancerre,1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2
Bread and Butter Chardonnay 2019/20,13.5,2,Chardonnay,1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2
Ancient Lakes 'Eight Thousand Lakes' Riesling 2019,11.5,3,Riesling,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3
Pringle Bay Sauvignon Blanc 2021,12.5,2,Sauvignon Blanc,1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2
Boekenhoutskloof 'Vintager' Sauvignon Blanc 2021,12.5,2,Sauvignon Blanc,1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2
Pinot Gris Grand Cru Spiegel 2018/19 Domaines Schlumberger,14.0,4,Pinot Gris,1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0
Royal Tokaji 'Gold Label' 6 Puttonyos 2016,11.0,8,Tokaji,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
Royal Tokaji Late Harvest 2017 50cl,11.5,8,Tokaji,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
Matusalem 30-Year-Old Oloroso Sherry Gonzalez Byass Half Bottle,20.5,5,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Cave de Hunawihr Kuhlmann-Platz 'Cuvée Prestige' Pinot Gris 2019,13.5,2,Pinot Gris,1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2
De Bortoli Botrytis Semillon 2018 Half Bottle,10.0,8,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
The Hunting Lodge Seasonal Sauvignon Blanc 2020,13.5,2,Sauvignon Blanc,1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2
Yealands Estate Single Vineyard Sauvignon Blanc 2020/21,13.0,2,Sauvignon Blanc,1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2
Lyme Bay Chardonnay 2017/18,13.5,2,Chardonnay,1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2
La Belle Angele Sauvignon Blanc Boxed Wine 2.25L,11.5,2,Sauvignon Blanc,1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2
Definition Pouilly-Fuissé 2019,13.0,2,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Ara 'Pathway' Sauvignon Blanc 2021,13.0,2,Sauvignon Blanc,1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2
Domaine Faiveley 'La Garenne' 2016 Puligny-Montrachet Premier Cru,13.5,2,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Roberto Sarotto 'Campo dell'Olio' Gavi di Gavi 2020,13.0,2,Gavi,1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2
Gewürztraminer 'Les Princes Abbés' 2018/19 Domaines Schlumberger,13.5,2,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
The Ned Noble Sauvignon Blanc 2018/19 Half Bottle,9.5,7,Sauvignon Blanc,1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3
