name,alcohol,character,class
Jacked Sauvignon Blanc with Ginger 50cl,12.5%,Dry,Sauvignon Blanc
Jimmy Liao's Riesling,11%,Off Dry,Riesling
Frontera Crisp & Fresh White,12%,Dry,
Loch Fyne Chenin Blanc,13.5%,Dry,Chenin Blanc
Flagstone Poetry Sauvignon Blanc,12.5%,Dry,Sauvignon Blanc
Sinfonia Sauvignon Blanc,12.5%,Dry,Sauvignon Blanc
Sinfonia Verdejo,12%,Dry,Verdejo
Masalto Chardonnay,13.5%,Dry,Chardonnay
Catarratto Pinot Grigio Lentezza ,12%,Dry,Pinot Grigio
Catarratto Pinot Grigio Allegri,12%,Dry,Pinot Grigio
Isla Negra Seashore Chardonnay Pedro Ximenez,12%,Dry,Chardonnay
Kumala Eternal Sémillon Sauvignon Blanc,12%,Dry,Sauvignon Blanc
Viña Maipo Classic Sauvignon Blanc Pedro Ximenez,12%,Dry,Sauvignon Blanc
Isla Negra Seashore Sauvignon Blanc Pedro Ximenez,12%,Dry,Sauvignon Blanc
Stormy Cape Chardonnay,13%,Dry,Chardonnay
Hardys Classic Selection Chardonnay,12.5%,Dry,Chardonnay
Vina Maipo Classic Chardonnay Pedro Ximenez,12%,Dry,Chardonnay
Namaqua Sauvignon Blanc,12.5%,Dry,Sauvignon Blanc
Pinot Grigio Cantastorie,12%,Dry,Pinot Grigio
Pinot Grigio Ca Lunghetta,12%,Dry,Pinot Grigio
Banrock Station Colombard Chardonnay,12.5%,,Chardonnay
Wolf Blass Red Label Semillon Chardonnay,13%,Dry,Chardonnay
Hardys VR Sauvignon Blanc,12.5%,Dry,Sauvignon Blanc
Yellow Tail Pink Moscato,7.5%,Off Dry,
Big Coq Sweet Muscat,12%,Medium,Muscat
Yellow Tail Unoaked Chardonnay,11.5%,Dry,Chardonnay
Trapiche Pinot Grigio,12.5%,Dry,Pinot Grigio
Yellow Tail Moscato,7.5%,Off Dry,
Southern Ocean Marlborough Sauvignon Blanc,12.5%,Dry,Sauvignon Blanc
Fitzroy Bay Marlborough Sauvignon Blanc,12.5%,Dry,Sauvignon Blanc
Prestige de Calvet Sauvignon Blanc,12%,Dry,Sauvignon Blanc
The Ned Sauvignon Blanc,13%,Dry,Sauvignon Blanc
Squealing Pig Australian Chardonnay,13%,Dry,Chardonnay
Cotes du Rhone L Tradition Blanc,14%,Dry,
Pulpo Marlborough Sauvignon Blanc,12.5%,Dry,Sauvignon Blanc
Villa Maria Private Bin Gewurztraminer,14%,Off Dry,
Villa Maria Private Bin Pinot Grigio,13.5%,Dry,Pinot Grigio
Villa Maria Private Bin Sauvignon Blanc,13%,Dry,Sauvignon Blanc
Villa Maria Private Bin Chardonnay,13%,Dry,Chardonnay
Matua Sauvignon Blanc,,Dry,Sauvignon Blanc
Vidal Sauvignon Blanc,13%,Dry,Sauvignon Blanc
Picpoul de Pinet Haut Bridau,12.5%,Dry,
Wolf Blass Silver Label Chardonnay,13%,Dry,Chardonnay
Left Field Sauvignon Blanc,13.5%,Dry,Sauvignon Blanc
Esk Valley Sauvignon Blanc,13.5%,Dry,Sauvignon Blanc
Petit Chablis Alain Geoffroy,12.5%,Dry,Chablis
Macon Lugny Les Charmes,13%,Dry,
Chablis Alain Geoffroy Domaine La Marguerite,12.5%,Dry,Chablis
