name,Brewery,company,prefecture,alchohol,acidity,Sake Meter,rice variety,polishing ratio,character,character-full,pairings,temperature,class
Akitabare “Koshiki Junzukuri”,Akitabare,Akita Brewing Company,Akita Prefecture,14.5,1.6,1.5,Gin no Sei,65,3,"dry, mild","seafood, vegetable, tempura",0,Junmai
Hoyo “Genji”,Hoyo,Uchigasaki Brewing Company,Miyagi Prefecture,15,1.3,4,Kura no Hana,55,2,"dry, woody, citrus","seared tuna, asparagus and artichoke.",0,Junmai
Hoyo “Sawayaka Junmai”,Hoyo,Uchigasaki Brewing Company,Miyagi Prefecture,15,1.3,1,Manamusume,60,1,soft and smooth,"sushi, sashim",0,Junmai
Kamoizumi “Shusen”,Kamoizumi,Kamoizumi Brewing Company,Hiroshima Prefecture,16,1.7,1,"Hiroshima Hattan, Nakate Shinsenbon",58,4,"Rich, robust, with a woody shiitake aroma","duck or foie gras,mushrooms and winter vegetables",40,Junmai
Kuzuryu “Junmai”,Kuzuryu,Kokuryu Sake Brewing Corporation,Fukui Prefecture,14.5,1.3,5.5,500 Mangoku,65,4,Nutty and toasty,"umami-rich shellfish when heated, beef filet or grilled chicken when chilled",0,Junmai
Masumi “Okuden Kantsukuri”,Masumi,Miyasaka Brewing Company ,Nagano Prefecture,15,1.6,1,"Miyamanishiki, Hitogokochi",70,7,smooth and sweet,"tempura, tofu and marinated chicken or pork dishes.",50,Junmai
Miyasaka “Yawaraka Junmai”,Miyasaka,Miyasaka Brewing Company ,Nagano Prefecture,12,1.5,-3,Miyamanishiki,55,6,Smooth and gentle,good with everything,0,Junmai
Sohomare “Karakuchi”,Sohomare,Sohomare Sake Brewery ,Tochigi Prefecture,15,1.8,5,Yamadanishiki,60,1,dry,"sushi, fish and poultry entrees",0,Junmai
Sohomare “Tokubetsu Kimoto”,Sohomare,Sohomare Sake Brewery ,Tochigi Prefecture,15,1.8,4,Yamadanishiki,60,5,Crisp and flavourful,"uni, chutoro tuna, Spanish ham and goat cheese.",0,Junmai
Tamagawa “Red Label”,Tamagawa,Kinoshita Brewing Company ,Kyoto Prefecture,20.5,2.9,3.5,Kitanashiki,66,,,"stews, grilled meats, oystrers",0,Junmai
Tamagawa “Tokubetsu Junmai”,Tamagawa,Kinoshita Brewing Company ,Kyoto Prefecture,16.5,2.2,4.4,500 Mangoku,60,5,Nutty and toasty,robust stews and roasts.,5,Junmai
Tedorigawa “Yamahai Junmai”,Tedorigawa,Yoshida Brewing Company,Ishikawa Prefecture,15.5,1.6,2,"Yamadanishiki, 500 Mangoku",60,1,"dry, sharp & smooth","Spicefriendly,  savoury dishes from Middle-Eastern cuisines.",5,Junmai
Dewazakura “Dewasansan”,Dewazakura,Dewazakura Sake Brewery,Yamagata Prefecture,15.5,1.4,4,Dewasansan,50,2,Mellow,"sashimi, oysters, grilled tuna, sea bass and halibut",5,Ginjo
Dewazakura “Izumi Judan”,Dewazakura,Dewazakura Sake Brewery,Yamagata Prefecture,17.5,1.4,12,"Dewasansan, Haenuki",50,1,crisp and bone dry,"Great with salmon roe, caviar, toro and hamachi",0,Ginjo
Dewazakura “Oka”,Dewazakura,Dewazakura Sake Brewery,Yamagata Prefecture,15.5,1.2,5,"Dewasansan, Haenuki",50,6,floral,lightly dressed salads and white fish sushi or sashimi,5,Ginjo
Dewazakura “Omachi”,Dewazakura,Dewazakura Sake Brewery,Yamagata Prefecture,16.5,1.6,1,Omachi,50,2,dry,"sweet corn croquettes, an omelette, gently seasoned dishes",5,Ginjo
Kokuryu “Junmai Ginjo”,Kokuryu,Kokuryu Sake Brewing Corporation,Fukui Prefecture,15.5,1.3,4.5,500 Mangoku,55,3,rich,"braised meat, fish and root vegetables",10,Ginjo
