name,alcohol,character,class,beverage
The Ned 'Waihopai River' Sauvignon Blanc 2020/21,13.0,1,Sauvignon Blanc,1
La Toledana Gavi di Gavi DOCG 2019/20,13.0,1,Gavi,1
Saintsbury Chardonnay 2018,13.5,1,Chardonnay,1
Domaine Fouassier 'La Garenne' Sancerre 2019/20,13.5,2,Sancerre,1
Martín Códax Albariño 2020,13.0,1,Albariño,1
Jackson Estate 'Stich' Sauvignon Blanc 2020/21,13.0,1,Sauvignon Blanc,1
Bread and Butter Chardonnay 2019/20,13.5,2,Chardonnay,1
Cave de Lugny 'Les Pierres Blanches' Mâcon-Villages Blanc 2019/20,13.0,1,Mâcon-Villages,1
LB7 Vinho Verde 2019/20,10.0,1,,1
Alamos Chardonnay 2020/21,13.5,1,Chardonnay,1
Mud House Chilean Sauvignon Blanc 2021,12.5,1,Sauvignon Blanc,1
Santa Rita ‘Medalla Real’ Chardonnay 2020,13.5,1,Chardonnay,1
Emiliana 'Gran Reserva' Organic Viognier 2020/21,14.5,1,,1
Ancient Lakes 'Eight Thousand Lakes' Riesling 2019,11.5,3,Riesling,1
Definition Gavi DOCG 2020,12.5,1,Gavi,1
Pringle Bay Sauvignon Blanc 2021,12.5,2,Sauvignon Blanc,1
Honey Drop Chardonnay 2020/21,13.5,1,Chardonnay,1
Louis Jadot 'Les Roches Blanches' Mâcon-Villages 2020,13.0,1,Mâcon-Villages,1
Dog Point Sauvignon Blanc 2020/21,13.5,1,Sauvignon Blanc,1
Boekenhoutskloof 'Porcupine Ridge' Sauvignon Blanc-Semillon 2020,12.5,1,Sauvignon Blanc,1
Boekenhoutskloof 'Vintager' Sauvignon Blanc 2021,12.5,2,Sauvignon Blanc,1
Marqués de Riscal Verdejo 2020,13.0,1,Verdejo,1
Eddystone Point Chardonnay 2018/19,13.5,1,Chardonnay,1
The Guv'nor Blanco,12.5,1,,1
Springfield Estate 'Wild Yeast' Chardonnay 2019/20,14.0,1,Chardonnay,1
Cantina Beato Bartolomeo Pinot Grigio Superiore 2020/21,12.5,1,Pinot Grigio,1
Domaine L. Chatelain Chablis 2020,13.0,1,,1
Château Recougne Blanc 2019/20,13.5,1,,1
Louis Latour Mâcon-Lugny 2019/20,13.0,1,,1
Pinot Gris Grand Cru Spiegel 2018/19 Domaines Schlumberger,14.0,4,Pinot Gris,1
Peter and Ulrich Dry Riesling 2020,12.5,1,Riesling,1
Cuvée Sainte Geneviève Blanc VdF,11.5,1,,1
Casa Ferreirinha 'Planalto' White Reserva 2019/20,13.0,1,,1
Domaine de la Métairie d’Alon ‘Le Palajo’ Chardonnay 2019,14.0,1,Chardonnay,1
La Baume 'Cuvée Florence' Piquepoul Sauvignon Blanc 2020,12.0,1,Sauvignon Blanc,1
Bollinger Special Cuvée Champagne Magnum,12.0,1,,1
Lanson Le Black Label Brut Champagne,12.5,1,,1
Laurent-Perrier 'Grand Siècle' Champagne,12.0,1,,1
Heidsieck and Co. Monopole 'Gold Top' Champagne 2011,12.5,1,,1
Royal Tokaji 'Gold Label' 6 Puttonyos 2016,11.0,8,Tokaji,1
Royal Tokaji Late Harvest 2017 50cl,11.5,8,Tokaji,1
La Gioiosa Prosecco,11.0,1,,1
Graham Beck Brut,12.0,1,,1
Cloudy Bay Pelorus Sparkling Brut,12.5,1,,1
La Marca 'Extra Dry' Prosecco,11.0,1,,1
Brancott Estate Sauvignon Blanc 2020/21,13.5,1,Sauvignon Blanc,1
Definition Sauvignon Blanc 2020/21,13.0,1,Sauvignon Blanc,1
Waimea Estates Pinot Gris 2020/21,13.0,1,Pinot Gris,1
Saint Clair Pioneer Block Chardonnay 2019/20,13.0,1,Chardonnay,1
Gabb Family Chardonnay 2020/21,13.5,1,Chardonnay,1
Errazuriz Sauvignon Blanc 2020,13.5,1,Sauvignon Blanc,1
Luis Felipe Edwards 'Signature Series' Viognier Reserva 2020/21,13.5,1,,1
Matusalem 30-Year-Old Oloroso Sherry Gonzalez Byass Half Bottle,20.5,5,,1
Pedro's Almacenista Selection Oloroso Sherry,20.0,1,,1
Domaine Jean-Max Roger ‘Cuvée Genese’ Sancerre 2019/20,13.5,1,Sancerre,1
Domaine Foucher Menetou Salon 2019/20,14.0,1,,1
Domaine du Vaux St Georges Sauvignon Blanc 2019/20,13.5,1,Sauvignon Blanc,1
Cave de Hunawihr Kuhlmann-Platz 'Cuvée Prestige' Pinot Gris 2019,13.5,2,Pinot Gris,1
Mas Querido Field Blend 2019,13.0,1,,1
Villarei Albariño 2019/20,13.0,1,Albariño,1
Duckhorn Vineyards Chardonnay 2018/19,14.5,1,Chardonnay,1
Yellow Tail Pinot Grigio 2020/21,11.5,1,Pinot Grigio,1
Denis Marchais Chenin Blanc 2019/20,11.5,1,Chenin Blanc,1
Berton Vineyard Fiano 2020/21,12.5,1,,1
De Bortoli Botrytis Semillon 2018 Half Bottle,10.0,8,,1
Thierry Delaunay 'Ceptembre' Sauvignon Blanc 2020,12.0,1,Sauvignon Blanc,1
Louis Pommery England Brut,12.0,1,,1
Definition White Burgundy 2020,13.0,1,,1
Definition Mâcon-Villages 2019/20,13.0,1,Mâcon-Villages,1
Cline 'Nancy's Vines' Viognier 2019/20,14.5,1,,1
Cono Sur 'Bicicleta' Viognier Reserva 2020/21,14.0,1,,1
Cape Mentelle Sauvignon Blanc-Semillon 2018/19,12.5,1,Sauvignon Blanc,1
House of Arras 'Brut Elite Cuvée',13.0,1,,1
Hambledon Classic Cuvée,12.0,1,,1
Anthonij Rupert 'Cape of Good Hope' Chenin Blanc 2019,13.5,1,Chenin Blanc,1
