name,alcohol,character,class
The Ned 'Waihopai River' Sauvignon Blanc 2020/21,13.0,1,Sauvignon Blanc
La Toledana Gavi di Gavi DOCG 2019/20,13.0,1,Gavi
Saintsbury Chardonnay 2018,13.5,1,Chardonnay
Domaine Fouassier 'La Garenne' Sancerre 2019/20,13.5,2,Sancerre
Martín Códax Albariño 2020,13.0,1,Albariño
Jackson Estate 'Stich' Sauvignon Blanc 2020/21,13.0,1,Sauvignon Blanc
Bread and Butter Chardonnay 2019/20,13.5,2,Chardonnay
Cave de Lugny 'Les Pierres Blanches' Mâcon-Villages Blanc 2019/20,13.0,1,Mâcon-Villages
LB7 Vinho Verde 2019/20,10.0,1,
Alamos Chardonnay 2020/21,13.5,1,Chardonnay
Mud House Chilean Sauvignon Blanc 2021,12.5,1,Sauvignon Blanc
Santa Rita ‘Medalla Real’ Chardonnay 2020,13.5,1,Chardonnay
Emiliana 'Gran Reserva' Organic Viognier 2020/21,14.5,1,
Ancient Lakes 'Eight Thousand Lakes' Riesling 2019,11.5,3,Riesling
Definition Gavi DOCG 2020,12.5,1,Gavi
Pringle Bay Sauvignon Blanc 2021,12.5,2,Sauvignon Blanc
Honey Drop Chardonnay 2020/21,13.5,1,Chardonnay
Louis Jadot 'Les Roches Blanches' Mâcon-Villages 2020,13.0,1,Mâcon-Villages
Dog Point Sauvignon Blanc 2020/21,13.5,1,Sauvignon Blanc
Boekenhoutskloof 'Porcupine Ridge' Sauvignon Blanc-Semillon 2020,12.5,1,Sauvignon Blanc
Boekenhoutskloof 'Vintager' Sauvignon Blanc 2021,12.5,2,Sauvignon Blanc
Marqués de Riscal Verdejo 2020,13.0,1,Verdejo
Eddystone Point Chardonnay 2018/19,13.5,1,Chardonnay
The Guv'nor Blanco,12.5,1,
Springfield Estate 'Wild Yeast' Chardonnay 2019/20,14.0,1,Chardonnay
Cantina Beato Bartolomeo Pinot Grigio Superiore 2020/21,12.5,1,Pinot Grigio
Domaine L. Chatelain Chablis 2020,13.0,1,
Château Recougne Blanc 2019/20,13.5,1,
Louis Latour Mâcon-Lugny 2019/20,13.0,1,
Pinot Gris Grand Cru Spiegel 2018/19 Domaines Schlumberger,14.0,4,Pinot Gris
Peter and Ulrich Dry Riesling 2020,12.5,1,Riesling
Cuvée Sainte Geneviève Blanc VdF,11.5,1,
Casa Ferreirinha 'Planalto' White Reserva 2019/20,13.0,1,
Domaine de la Métairie d’Alon ‘Le Palajo’ Chardonnay 2019,14.0,1,Chardonnay
